parenttype	parentname	name	value	index	id
block	Derivation_Opportunities_2	selectedcount	12	-1	168
block	Derivation_Opportunities_2	showmousecursor	0	-1	174
block	Derivation_Opportunities_2	sumlatency	18580	-1	188
block	Derivation_Opportunities_2	timeout	0	-1	199
block	Derivation_Opportunities_2	totalcorrectcount	17	-1	202
block	Derivation_Opportunities_2	totalcount	1	-1	203
block	Derivation_Opportunities_2	totalerrorcount	19	-1	204
block	Derivation_Opportunities_2	totalinwindowcount	0	-1	205
block	Derivation_Opportunities_2	totalmaxlatency	6302	-1	206
block	Derivation_Opportunities_2	totalmeanlatency	516.1111111111110858474	-1	207
block	Derivation_Opportunities_2	totalmedianlatency	334	-1	208
block	Derivation_Opportunities_2	totalminlatency	77	-1	209
block	Derivation_Opportunities_2	totalnumcorrect	17	-1	211
block	Derivation_Opportunities_2	totalnuminwindow	0	-1	212
block	Derivation_Opportunities_2	totalpercentcorrect	47	-1	213
block	Derivation_Opportunities_2	totalpercentinwindow	0	-1	214
block	Derivation_Opportunities_2	totalsdlatency	1004.37109754676907869	-1	215
block	Derivation_Opportunities_2	totalsumlatency	18580	-1	216
block	Derivation_Opportunities_2	totaltrialcount	36	-1	217
block	Derivation_Opportunities_2	totalvarlatency	1008761.3015873015392571688	-1	218
block	Derivation_Opportunities_2	trialcount	36	-1	220
block	Derivation_Opportunities_2	trialscount	36	-1	222
block	Derivation_Opportunities_2	typename	block	-1	223
block	Derivation_Opportunities_2	unselectedcount	0	-1	224
block	Derivation_Opportunities_2	varlatency	1008761.3015873015392571688	-1	226
block	Derivation_Opportunities_2	windowcenter	0	-1	232
block	Derivation_Opportunities_2	windowdecthreshold	0	-1	233
block	Derivation_Opportunities_2	windowdecunit	33	-1	234
block	Derivation_Opportunities_2	windowhitduration	0	-1	235
block	Derivation_Opportunities_2	windowincthreshold	0	-1	236
block	Derivation_Opportunities_2	windowincunit	33	-1	237
block	Derivation_Opportunities_2	windowmaxcenter	0	-1	238
block	Derivation_Opportunities_2	windowmincenter	0	-1	239
block	Derivation_Opportunities_2	windowonset	0	-1	241
block	Derivation_Opportunities_2	windowwidth	0	-1	242
computer	computer	availablememory	20184	-1	4
computer	computer	countrycode	IE	-1	24
computer	computer	cpuspeed	1700	-1	25
computer	computer	language	English	-1	81
computer	computer	languagecode	en	-1	82
computer	computer	languageid	0	-1	83
computer	computer	memory	3095624	-1	108
computer	computer	os		-1	131
computer	computer	osmajorversion	10	-1	132
computer	computer	osminorversion	11	-1	133
computer	computer	platform	mac	-1	139
computer	computer	timerresolution	0.000001	-1	200
counter	IQSet::setRandomArray	item	7	-1	74
counter	IQSet::setRandomArray	item.1	1	1	74
counter	IQSet::setRandomArray	item.10	2	10	74
counter	IQSet::setRandomArray	item.11	3	11	74
counter	IQSet::setRandomArray	item.12	4	12	74
counter	IQSet::setRandomArray	item.13	5	13	74
counter	IQSet::setRandomArray	item.14	6	14	74
counter	IQSet::setRandomArray	item.15	7	15	74
counter	IQSet::setRandomArray	item.16	8	16	74
counter	IQSet::setRandomArray	item.17	1	17	74
counter	IQSet::setRandomArray	item.18	2	18	74
counter	IQSet::setRandomArray	item.19	3	19	74
counter	IQSet::setRandomArray	item.2	2	2	74
counter	IQSet::setRandomArray	item.20	4	20	74
counter	IQSet::setRandomArray	item.21	5	21	74
counter	IQSet::setRandomArray	item.22	6	22	74
counter	IQSet::setRandomArray	item.23	7	23	74
counter	IQSet::setRandomArray	item.24	8	24	74
counter	IQSet::setRandomArray	item.25	1	25	74
counter	IQSet::setRandomArray	item.26	2	26	74
counter	IQSet::setRandomArray	item.27	3	27	74
counter	IQSet::setRandomArray	item.28	4	28	74
counter	IQSet::setRandomArray	item.29	5	29	74
counter	IQSet::setRandomArray	item.3	3	3	74
counter	IQSet::setRandomArray	item.30	6	30	74
counter	IQSet::setRandomArray	item.31	7	31	74
counter	IQSet::setRandomArray	item.32	8	32	74
counter	IQSet::setRandomArray	item.33	1	33	74
counter	IQSet::setRandomArray	item.34	2	34	74
counter	IQSet::setRandomArray	item.35	3	35	74
counter	IQSet::setRandomArray	item.36	4	36	74
counter	IQSet::setRandomArray	item.37	5	37	74
counter	IQSet::setRandomArray	item.38	6	38	74
counter	IQSet::setRandomArray	item.39	7	39	74
counter	IQSet::setRandomArray	item.4	4	4	74
counter	IQSet::setRandomArray	item.40	8	40	74
counter	IQSet::setRandomArray	item.5	5	5	74
counter	IQSet::setRandomArray	item.6	6	6	74
counter	IQSet::setRandomArray	item.7	7	7	74
counter	IQSet::setRandomArray	item.8	8	8	74
counter	IQSet::setRandomArray	item.9	1	9	74
counter	IQSet::setRandomArray	currentitem	7	-1	31
counter	IQSet::setRandomArray	currentitemnumber	39	-1	32
counter	IQSet::setRandomArray	item	7	-1	74
counter	IQSet::setRandomArray	item.1	1	1	74
counter	IQSet::setRandomArray	item.10	2	10	74
counter	IQSet::setRandomArray	item.11	3	11	74
counter	IQSet::setRandomArray	item.12	4	12	74
counter	IQSet::setRandomArray	item.13	5	13	74
counter	IQSet::setRandomArray	item.14	6	14	74
counter	IQSet::setRandomArray	item.15	7	15	74
counter	IQSet::setRandomArray	item.16	8	16	74
counter	IQSet::setRandomArray	item.17	1	17	74
counter	IQSet::setRandomArray	item.18	2	18	74
counter	IQSet::setRandomArray	item.19	3	19	74
counter	IQSet::setRandomArray	item.2	2	2	74
counter	IQSet::setRandomArray	item.20	4	20	74
counter	IQSet::setRandomArray	item.21	5	21	74
counter	IQSet::setRandomArray	item.22	6	22	74
counter	IQSet::setRandomArray	item.23	7	23	74
counter	IQSet::setRandomArray	item.24	8	24	74
counter	IQSet::setRandomArray	item.25	1	25	74
counter	IQSet::setRandomArray	item.26	2	26	74
counter	IQSet::setRandomArray	item.27	3	27	74
counter	IQSet::setRandomArray	item.28	4	28	74
counter	IQSet::setRandomArray	item.29	5	29	74
counter	IQSet::setRandomArray	item.3	3	3	74
counter	IQSet::setRandomArray	item.30	6	30	74
counter	IQSet::setRandomArray	item.31	7	31	74
counter	IQSet::setRandomArray	item.32	8	32	74
counter	IQSet::setRandomArray	item.33	1	33	74
counter	IQSet::setRandomArray	item.34	2	34	74
counter	IQSet::setRandomArray	item.35	3	35	74
counter	IQSet::setRandomArray	item.36	4	36	74
counter	IQSet::setRandomArray	item.37	5	37	74
counter	IQSet::setRandomArray	item.38	6	38	74
counter	IQSet::setRandomArray	item.39	7	39	74
counter	IQSet::setRandomArray	item.4	4	4	74
counter	IQSet::setRandomArray	item.40	8	40	74
counter	IQSet::setRandomArray	item.5	5	5	74
counter	IQSet::setRandomArray	item.6	6	6	74
counter	IQSet::setRandomArray	item.7	7	7	74
counter	IQSet::setRandomArray	item.8	8	8	74
counter	IQSet::setRandomArray	item.9	1	9	74
counter	IQSet::setRandomArray	itemcount	40	-1	75
counter	IQSet::setRandomArray	name	IQSet::setRandomArray.28	-1	116
counter	IQSet::setRandomArray	selectedcount	36	-1	168
counter	IQSet::setRandomArray	selectedindex	39	-1	169
counter	IQSet::setRandomArray	selectedvalue	5	-1	170
counter	IQSet::setRandomArray	selectionmode	5	-1	171
counter	IQSet::setRandomArray	selectionrate	0	-1	172
counter	IQSet::setRandomArray	typename	counter	-1	223
counter	IQSet::setRandomArray	unselectedcount	3	-1	224
counter	IQSet::setRandomArray	item	1	-1	74
counter	IQSet::setRandomArray	item.1	1	1	74
counter	IQSet::setRandomArray	item.10	2	10	74
counter	IQSet::setRandomArray	item.11	3	11	74
counter	IQSet::setRandomArray	item.12	4	12	74
counter	IQSet::setRandomArray	item.13	5	13	74
counter	IQSet::setRandomArray	item.14	6	14	74
counter	IQSet::setRandomArray	item.15	7	15	74
counter	IQSet::setRandomArray	item.16	8	16	74
counter	IQSet::setRandomArray	item.17	1	17	74
counter	IQSet::setRandomArray	item.18	2	18	74
counter	IQSet::setRandomArray	item.19	3	19	74
counter	IQSet::setRandomArray	item.2	2	2	74
counter	IQSet::setRandomArray	item.20	4	20	74
counter	IQSet::setRandomArray	item.21	5	21	74
counter	IQSet::setRandomArray	item.22	6	22	74
counter	IQSet::setRandomArray	item.23	7	23	74
counter	IQSet::setRandomArray	item.24	8	24	74
counter	IQSet::setRandomArray	item.25	1	25	74
counter	IQSet::setRandomArray	item.26	2	26	74
counter	IQSet::setRandomArray	item.27	3	27	74
counter	IQSet::setRandomArray	item.28	4	28	74
counter	IQSet::setRandomArray	item.29	5	29	74
counter	IQSet::setRandomArray	item.3	3	3	74
counter	IQSet::setRandomArray	item.30	6	30	74
counter	IQSet::setRandomArray	item.31	7	31	74
counter	IQSet::setRandomArray	item.32	8	32	74
counter	IQSet::setRandomArray	item.33	1	33	74
counter	IQSet::setRandomArray	item.34	2	34	74
counter	IQSet::setRandomArray	item.35	3	35	74
counter	IQSet::setRandomArray	item.36	4	36	74
counter	IQSet::setRandomArray	item.37	5	37	74
counter	IQSet::setRandomArray	item.38	6	38	74
counter	IQSet::setRandomArray	item.39	7	39	74
counter	IQSet::setRandomArray	item.4	4	4	74
counter	IQSet::setRandomArray	item.40	8	40	74
counter	IQSet::setRandomArray	item.5	5	5	74
counter	IQSet::setRandomArray	item.6	6	6	74
counter	IQSet::setRandomArray	item.7	7	7	74
counter	IQSet::setRandomArray	item.8	8	8	74
counter	IQSet::setRandomArray	item.9	1	9	74
counter	IQSet::setRandomArray	currentitem	1	-1	31
counter	IQSet::setRandomArray	currentitemnumber	1	-1	32
counter	IQSet::setRandomArray	item	1	-1	74
counter	IQSet::setRandomArray	item.1	1	1	74
counter	IQSet::setRandomArray	item.10	2	10	74
counter	IQSet::setRandomArray	item.11	3	11	74
counter	IQSet::setRandomArray	item.12	4	12	74
counter	IQSet::setRandomArray	item.13	5	13	74
counter	IQSet::setRandomArray	item.14	6	14	74
counter	IQSet::setRandomArray	item.15	7	15	74
counter	IQSet::setRandomArray	item.16	8	16	74
counter	IQSet::setRandomArray	item.17	1	17	74
counter	IQSet::setRandomArray	item.18	2	18	74
counter	IQSet::setRandomArray	item.19	3	19	74
counter	IQSet::setRandomArray	item.2	2	2	74
counter	IQSet::setRandomArray	item.20	4	20	74
counter	IQSet::setRandomArray	item.21	5	21	74
counter	IQSet::setRandomArray	item.22	6	22	74
counter	IQSet::setRandomArray	item.23	7	23	74
counter	IQSet::setRandomArray	item.24	8	24	74
counter	IQSet::setRandomArray	item.25	1	25	74
counter	IQSet::setRandomArray	item.26	2	26	74
counter	IQSet::setRandomArray	item.27	3	27	74
counter	IQSet::setRandomArray	item.28	4	28	74
counter	IQSet::setRandomArray	item.29	5	29	74
counter	IQSet::setRandomArray	item.3	3	3	74
counter	IQSet::setRandomArray	item.30	6	30	74
counter	IQSet::setRandomArray	item.31	7	31	74
counter	IQSet::setRandomArray	item.32	8	32	74
counter	IQSet::setRandomArray	item.33	1	33	74
counter	IQSet::setRandomArray	item.34	2	34	74
counter	IQSet::setRandomArray	item.35	3	35	74
counter	IQSet::setRandomArray	item.36	4	36	74
counter	IQSet::setRandomArray	item.37	5	37	74
counter	IQSet::setRandomArray	item.38	6	38	74
counter	IQSet::setRandomArray	item.39	7	39	74
counter	IQSet::setRandomArray	item.4	4	4	74
counter	IQSet::setRandomArray	item.40	8	40	74
counter	IQSet::setRandomArray	item.5	5	5	74
counter	IQSet::setRandomArray	item.6	6	6	74
counter	IQSet::setRandomArray	item.7	7	7	74
counter	IQSet::setRandomArray	item.8	8	8	74
counter	IQSet::setRandomArray	item.9	1	9	74
counter	IQSet::setRandomArray	itemcount	40	-1	75
counter	IQSet::setRandomArray	name	IQSet::setRandomArray.29	-1	116
counter	IQSet::setRandomArray	selectedcount	36	-1	168
counter	IQSet::setRandomArray	selectedindex	1	-1	169
counter	IQSet::setRandomArray	selectedvalue	5	-1	170
counter	IQSet::setRandomArray	selectionmode	5	-1	171
counter	IQSet::setRandomArray	selectionrate	0	-1	172
counter	IQSet::setRandomArray	typename	counter	-1	223
counter	IQSet::setRandomArray	unselectedcount	3	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	picture_A1_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	picture_A1_sample1_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	picture_A1_sample2_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	picture_A1_target_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	picture_A2_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	picture_A2_sample1_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	picture_A2_sample2_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	picture_A2_target_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
